species name,Sex,Overall appearance: &lt;Colouring&gt;,Length of prosoma [mm],Length of prosoma by range [mm],Length of femur I : &lt;relative to prosoma&gt;,Prosoma: &lt;appearance&gt;,Fovea clearly visible as darkened groove,Opisthosoma: &lt;appearance&gt;,Dorsal spines on femur I: &lt;count&gt;,Posterior eye row: &lt;form&gt;,Posterior median eye (PME) separation: &lt;relative to diameter (d)&gt;,Headregion of male: &lt;appearance&gt;,Eyes: &lt;appearance&gt;,Anterior median eyes: &lt;size relative to anterior lateral eyes ALE&gt;,Prolateral spines on femur I: &lt;count&gt;,Prolateral spines on tibia I: &lt;count&gt;,Anterior cheliceral teeth: &lt;appearance&gt;,Conspicuous structures on chelicerae: &lt;appearance&gt;,Maxillae: &lt;appearance&gt;,Sternum: &lt;appearance&gt;,Sternum: &lt;extends between coxae IV&gt;,Width of sternum between coxae IV: &lt;relative to width of coxae IV (d)&gt;,Position of trichobothrium on metatarsus I (TmI): &lt;relative to metatarsus&gt;,Position of TmI by range: &lt;relative to metatarsus&gt;,Metatarsus IV dorsally: &lt;presence of trichobothrium (TmIV)&gt;,Dorsal spines on metatarsus I: &lt;count&gt;,Tibia IV: &lt;number of dorsal spines&gt;,"Numbers of dorsal spines on tibia I, II, III, IV: &lt;tibial spine formula&gt;",Tibia I-II ventrally: &lt;presence of spines&gt;,Male pedipalp: femur &lt;appearance&gt;,Male pedipalp: patella &lt;appearance&gt;,Male pedipalp: tibia &lt;appearance&gt;,Male pedipalp: cymbium &lt;appearance&gt;,Male pedipalp: paracymbium &lt;form&gt;,Male pedipalp: branches of paracymbium &lt;presence of teeth&gt;,Male pedipalp: embolus &lt;appearance&gt;,Male pedipalp: lamella characteristica &lt;presence&gt;,Distribution,Female palp: claw &lt;presence&gt;,Epigyne: &lt;appearance&gt;,Epigyne: &lt;form&gt;,Epigyne: &lt;seminal receptacles&gt;,Description of any further conspicuous features:
"Troglohyphantes caporiaccoi W Brignoli, 1971",Female,"pale, ground or cave dweller (careful with older specimens: fading)",0.98,0.8-1.0,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,,,,reduced,,one,one,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.21,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Italy |,conspicuous,with lateral plates; with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes cerberus W (Simon, 1884)",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.45,1.4-1.6,longer than prosoma,inconspicuous,no,"unicolorous, inconspicuous",one,recurved,equal to d,,normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.29,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,France | Spain |,not present/inconspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Troglohyphantes confusus M Kratochvil, 1939",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.08,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.21,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Slovenia |,,,,,
"Troglohyphantes confusus W Kratochvil, 1939",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.05,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.23,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Slovenia |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Troglohyphantes croaticus M (Chyzer, 1894)",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.2,1.0-1.2; 1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,straight,equal to d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.17,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Croatia | Slovenia |,,,,,
"Troglohyphantes croaticus W (Chyzer, 1894)",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.2,1.0-1.2; 1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,,normal,distinctly smaller than ALE,multiple,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.15,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Croatia | Slovenia |,conspicuous,with lateral plates; with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes cruentus M Brignoli, 1971",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.1,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.23,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Slovenia |,,,,,
"Troglohyphantes dekkingae M Deeleman-Reinhold, 1978",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.2,1.0-1.2; 1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,inconspicuous,normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.18,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Bosnia and Herzegovina |,,,,,
"Troglohyphantes dekkingae W Deeleman-Reinhold, 1978",Female,"inconspicuous, generally dark",1.2,1.0-1.2; 1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,straight,equal to d,,normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.15,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Bosnia and Herzegovina |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes dekkingae pauciaculeatus M Deeleman-Reinhold, 1978",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.2,1.0-1.2; 1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.22,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),unremarkable,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Bosnia and Herzegovina |,,,,,
"Troglohyphantes dekkingae pauciaculeatus W Deeleman-Reinhold, 1978",Female,"inconspicuous, generally dark",1.5,1.4-1.6,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.19,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Bosnia and Herzegovina |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes diabolicus M Deeleman-Reinhold, 1978",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.2,1.0-1.2; 1.2-1.4,longer than prosoma,inconspicuous,no,"unicolorous, inconspicuous",one,recurved,equal to d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.2,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),unremarkable,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Slovenia |,,,,,
"Troglohyphantes diabolicus W Deeleman-Reinhold, 1978",Female,"inconspicuous, generally dark",1.11,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.22,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Slovenia |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes draconis W Deeleman-Reinhold, 1978",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.05,1.0-1.2,longer than prosoma,inconspicuous,no,"unicolorous, inconspicuous",multiple,straight,equal to d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.22,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Albania | North Macedonia |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Troglohyphantes drenskii W Deltshev, 1973",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.1,1.0-1.2,longer than prosoma,inconspicuous,no,"unicolorous, inconspicuous",one,straight,equal to d,,reduced,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.21,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Bulgaria |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes excavatus M Fage, 1919",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.1,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.18,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),unremarkable,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Austria | Croatia | Italy | Slovenia |,,,,,
"Troglohyphantes excavatus W Fage, 1919",Female,"inconspicuous, generally dark",1.05,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.23,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Austria | Croatia | Italy | Slovenia |,conspicuous,with lateral plates; with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Troglohyphantes fagei M Roewer, 1931",Male,"inconspicuous, generally dark",1.3,1.2-1.4,longer than prosoma,with conspicuous hairs/spines,yes,"unicolorous, inconspicuous",multiple,recurved,equal to d,inconspicuous,normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.2,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),unremarkable,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Austria | Germany | Italy | Slovenia |,,,,,
"Troglohyphantes fagei W Roewer, 1931",Female,"inconspicuous, generally dark",1.35,1.2-1.4,longer than prosoma,with conspicuous hairs/spines,yes,"unicolorous, inconspicuous",multiple,recurved,equal to d,,normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.17,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Austria | Germany | Italy | Slovenia |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Troglohyphantes fallax M Deeleman-Reinhold, 1978",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.3,1.2-1.4,longer than prosoma,inconspicuous,no,"unicolorous, inconspicuous",one,,,inconspicuous,reduced,,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.15,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),unremarkable,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,absent,Bosnia and Herzegovina |,,,,,Eyes reduced: remaining characters not diagnosable
"Troglohyphantes fallax W Deeleman-Reinhold, 1978",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.4,1.2-1.4; 1.4-1.6,longer than prosoma,inconspicuous,no,"unicolorous, inconspicuous",one,,,,reduced,,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.15,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Bosnia and Herzegovina |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",Eyes reduced: remaining characters not diagnosable
"Troglohyphantes fugax M (Kulczynski, 1914)",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.35,1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",multiple,,,inconspicuous,reduced,,multiple,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.18,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),unremarkable,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Bosnia and Herzegovina |,,,,,Eyes reduced: remaining characters not diagnosable
"Troglohyphantes fugax W (Kulczynski, 1914)",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.6,1.4-1.6; 1.6-1.8,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",multiple,,,,reduced,,multiple,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.16,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Bosnia and Herzegovina |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",Eyes reduced: remaining characters not diagnosable
"Troglohyphantes furcifer M (Simon, 1884)",Male,"inconspicuous, generally dark",1.2,1.0-1.2; 1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,inconspicuous; with lobe (simple),normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.19,0.10-0.19; 0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis; with tufts of hair or spines,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,France | Spain |,,,,,
"Troglohyphantes furcifer W (Simon, 1884)",Female,"inconspicuous, generally dark",1.2,1.0-1.2; 1.2-1.4,longer than prosoma,inconspicuous,yes,patterned,one,recurved,distinctly less than d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.21,0.10-0.19; 0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,France | Spain |,not present/inconspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes gamsi M Deeleman-Reinhold, 1978",Male,"inconspicuous, generally dark",1,0.8-1.0; 1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,straight,distinctly less than d,with lobe (simple),normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.19,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Slovenia |,,,,,
"Troglohyphantes gamsi W Deeleman-Reinhold, 1978",Female,"inconspicuous, generally dark",1.1,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,distinctly less than d,,normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.16,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Slovenia |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes gestroi M Fage, 1933",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.55,1.4-1.6,longer than prosoma,with conspicuous hairs/spines,yes,"unicolorous, inconspicuous",one,recurved,distinctly greater than d,inconspicuous,normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.16,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Italy |,,,,,
"Troglohyphantes gestroi W Fage, 1933",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.35,1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,,normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.17,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Italy |,conspicuous,with lateral plates; with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes giromettai M (Kulczynski, 1914)",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.2,1.0-1.2; 1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",multiple,straight,equal to d,inconspicuous,normal,distinctly smaller than ALE,multiple,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.19,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Croatia |,,,,,
"Troglohyphantes giromettai W (Kulczynski, 1914)",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.3,1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",multiple,recurved,equal to d,,normal,distinctly smaller than ALE,multiple,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.17,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Croatia |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes gracilis M Fage, 1919",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.15,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,distinctly greater than d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.14,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Slovenia |,,,,,
"Troglohyphantes gracilis W Fage, 1919",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.25,1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.18,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Slovenia |,conspicuous,with lateral plates; with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes hadzii M Kratochvil, 1934",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.1,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,distinctly less than d,inconspicuous,normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.18,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),unremarkable,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Bosnia and Herzegovina | Croatia |,,,,,
"Troglohyphantes hadzii W Kratochvil, 1934",Female,"pale, ground or cave dweller (careful with older specimens: fading)",0.9,0.8-1.0,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,distinctly less than d,,normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.18,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Bosnia and Herzegovina | Croatia |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes helsdingeni M Deeleman-Reinhold, 1978",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.1,1.0-1.2,longer than prosoma,inconspicuous,no,"unicolorous, inconspicuous",one,recurved,distinctly greater than d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.17,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis; with tufts of hair or spines,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Austria | Slovenia |,,,,,
"Troglohyphantes helsdingeni W Deeleman-Reinhold, 1978",Female,"inconspicuous, generally dark",1.2,1.0-1.2; 1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,distinctly greater than d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.17,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Austria | Slovenia |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes inermis M Deeleman-Reinhold, 1978",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.05,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,recurved,equal to d,inconspicuous,normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.2,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,North Macedonia |,,,,,
"Troglohyphantes inermis W Deeleman-Reinhold, 1978",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.17,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",none,recurved,equal to d,,normal,distinctly smaller than ALE,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.24,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,North Macedonia |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes iulianae W Brignoli, 1971",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.06,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,straight,distinctly less than d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,equal to d,0.21,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Italy |,conspicuous,with lateral plates; with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) not visible",
"Troglohyphantes jamatus M Roewer, 1931",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.5,1.4-1.6,longer than prosoma,with conspicuous hairs/spines,yes,"unicolorous, inconspicuous",one,straight,distinctly greater than d,inconspicuous,reduced,about the same as ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.17,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Slovenia |,,,,,
"Troglohyphantes jamatus W Roewer, 1931",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.5,1.4-1.6,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,straight,distinctly greater than d,,reduced,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.17,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Slovenia |,conspicuous,with lateral plates; with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
"Troglohyphantes juris M Thaler, 1982",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.2,1.0-1.2; 1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,,,with horns/tufts; with lobe (simple),reduced,,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.17,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),"with multiple, simple apophyses",with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Italy |,,,,,Eyes reduced: remaining characters not diagnosable
"Troglohyphantes juris W Thaler, 1982",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.3,1.2-1.4,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,,,,reduced,,one,multiple,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.13,0.10-0.19,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Italy |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",Eyes reduced: remaining characters not diagnosable
"Troglohyphantes karawankorum M Deeleman-Reinhold, 1978",Male,"pale, ground or cave dweller (careful with older specimens: fading)",1.13,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,inconspicuous,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.2,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,unremarkable,with conspicuous spines (single or tufts),with simple apophysis,with dorsal projections/conical elevations; margin with notches/bulges,complex,teeth absent,unremarkable,conspicuous,Austria | Slovenia |,,,,,
"Troglohyphantes karawankorum W Deeleman-Reinhold, 1978",Female,"pale, ground or cave dweller (careful with older specimens: fading)",1.18,1.0-1.2,longer than prosoma,inconspicuous,yes,"unicolorous, inconspicuous",one,recurved,equal to d,,normal,distinctly smaller than ALE,one,one,unremarkable in size,none,unremarkable,smooth,yes,distinctly less than d,0.2,0.20-0.29,trichobothrium absent,one,two dorsal spines,2222,no spines,,,,,,,,,Austria | Slovenia |,conspicuous,with scape (from anterior margin),protrudes,"underlying structures (e.g., seminal receptacles) visible",
